id,eth_balance
0x0a6c9cb1719bd2c2dfb70473ea75f3e479b13d9a,6.00638E+17
0x735cacedf2fdcf8d88ab1f0636707fb2c182202b,6.0043E+18
0x18b08f4b7b2cd01129f2509dc791db22bebe3482,5.00501E+18
0xdfb3355981ca3c7ba6ba790b26f02c3737727de7,3.75444E+18
0x35b82429800c87a6308e62e850246ce836f840dd,2.68322E+18
0x789dcb1f9e46ae6c679a56f237708fbdb13305c0,1.73133E+18
0x0b5ee2f9cdab289b8ef639b8fb88d9024a142dd6,1.73104E+18
0xe099242f3915168d58ed49a5c0b1ca7bd7c599b2,1.6E+18
0x039fd537a61e4a7f28e43740fe29ac84443366f6,1.46446E+18
0xe2b13064c130b759f6c7ce3e72dd433ed71d52e8,1.41771E+18
0xbf30bdbb1ab79aecf3b620db13bc4ee8937f908d,1.19661E+18
0x4d984ab26fc3a3068ada4e9de2ee07004eb38c1d,1.07973E+18
0x03ffb2210d359c06a3c788218761bfdced439542,1.06002E+18
0xe21c8ec073c83f3d81206daca5c463fa8bb84c41,1.04491E+18
0x27fb491f629daa6abe968d5dc0ad401b29fb5c71,1.01033E+18
0x42bbb0c5abc0cdbe787f7fc3ec7035f3fb0f4b7c,1.00053E+18
0x9eb6672a5afac08638ded9e75919a75fa3f11556,1.00042E+18
0xd582fcf8c6df403f252fef9f6520514b4f653399,1.00029E+18
0xe62eaccdd9c6cf1543f37fda3bc7ce436b638d83,9.764E+17
0xb739f3ecb5499ae3d86e4b92aa10806d166f14aa,8.5782E+17
0xe0929e6ac82e342892f90e8f74e0546f5d667cd3,8.55336E+17
0x1820ac69654f551cc10af06f25617291f015e787,8.04952E+17
0x4e0393c96d0e2ebbfc5d3ef6b9084f3686fb9be4,8.03778E+17
0x8dffc5c711980ffc7402a3433789259d17209b5f,7.71125E+17
0x3ade9286e7c5b8641beb5f2b02af3a0844563f1a,7.27912E+17
0x43b77a4a7fe445329bbcdee4d93e93af3727d70a,7.07358E+17
0xe83aab43f9c6a2f125fec7221c0ac3684697da6e,6.68459E+17
0xad99483402f13ccff9a96a36423923bb5625b3c2,6.38537E+17
0x6e5b5c9936ffae52cb32a3f1ec302ebdfde02976,6.01091E+17
0x0c94b022eef7e555b7d6efe444aed1a4e8e102c6,6.00568E+17
0x045f0b5df2ea8a7f40c80deb340a843613225999,6.00207E+17
0xf577791347b4f4af963affbbf19980f5393ccc24,5.74783E+17
0x8c8051fc958cfb73344f78dc9e3bddf844d232ae,5.35765E+17
0x03aaaf3a83a774d1feae7c03abbe87a86b83880b,5.23802E+17
0x7acace04083f818092474717a2fc8256b250da07,5.11503E+17
0x070b7948e4e21c8191ed61c41de994aed01a356c,5.09224E+17
0x0e3730964059bb7c12daa663e3400821cb3d6e90,5.04523E+17
0x3c3acc388c4f62697114f4827bcaa815c1372d1e,5.0081E+17
0x609d3639caf45952fdfc6385c57b3dd302d8d5dc,5.00539E+17
0xb56942c70eaa6a2f5a5c5986793483ae0586b7f0,5.00509E+17
